Title,description,price,Capacity,Grape,closure,country,Characteristics,type,ABV,region,style,vintage
Mil Pesetas Oloroso Jerez,"Mil Pesetas Oloroso Jerez (Sauvignon Blanc) is a refined white wine from Austria, specifically the Vienna region. Produced from the 2013 vintage, it offers flavors of violet, vanilla, fruit and is best described as Bold & Spicy. Alcohol content: 14.5%.",$54.45,0.5,Sauvignon Blanc,Natural Cork,Austria,"violet, vanilla, fruit",White,14.5%,Vienna,Bold & Spicy,2013
M. Chapoutier Belleruche Cotes-du-Rhone Rouge,"M. Chapoutier Belleruche Cotes-du-Rhone Rouge (Carmenere) is a refined red wine from England, specifically the Surrey region. Produced from the 2017 vintage, it offers flavors of chocolate, pear, quince and is best described as Light & Refreshing. Alcohol content: 11.5%.",$24.00,0.75,Carmenere,Natural Cork,England,"chocolate, pear, quince",Red,11.5%,Surrey,Light & Refreshing,2017
El Coto Rioja Garnacha Crianza,"El Coto Rioja Garnacha Crianza (Zinfandel) is a refined red wine from Serbia, specifically the e region. Produced from the 2016 vintage, it offers flavors of nuts, flowers, earth and is best described as Smooth & Light. Alcohol content: 14.5%.",$57.00,0.75,Zinfandel,Natural Cork,Serbia,"nuts, flowers, earth",Red,14.5%,e,Smooth & Light,2016
Berte e Cordini Riesling,"Berte e Cordini Riesling (Riesling) is a refined white wine from Greece, specifically the e region. Produced from the 2000 vintage, it offers flavors of incense, berries, nuts and is best described as Smooth & Mellow. Alcohol content: 12.5%.",$29.74,0.75,Riesling,Natural Cork,Greece,"incense, berries, nuts",White,12.5%,e,Smooth & Mellow,2000
Mud House Sauvignon Blanc Rose,"Mud House Sauvignon Blanc Rose (Sauvignon Blanc) is a refined rose wine from Hungary, specifically the u region. Produced from the 2001 vintage, it offers flavors of coffee, passion fruit, fig and is best described as Ripe & Rounded. Alcohol content: 11.0%.",$43.06,0.75,Sauvignon Blanc,Natural Cork,Hungary,"coffee, passion fruit, fig",Rose,11.0%,u,Ripe & Rounded,2001
Cave de Ribeauville Collection Gewurztraminer,"Cave de Ribeauville Collection Gewurztraminer (Trebbiano) is a refined white wine from Australia, specifically the South East Australia region. Produced from the 2004 vintage, it offers flavors of cinnamon, mushrooms, green apple and is best described as Aromatic & Floral. Alcohol content: 14.5%.",$55.06,0.375,Trebbiano,Natural Cork,Australia,"cinnamon, mushrooms, green apple",White,14.5%,South East Australia,Aromatic & Floral,2004
Dusky Sounds Sauvignon Blanc,"Dusky Sounds Sauvignon Blanc (Sauvignon Blanc) is a refined white wine from Greece, specifically the r region. Produced from the 2007 vintage, it offers flavors of tobacco, raspberry, lemon zest and is best described as Savoury & Full Bodied. Alcohol content: 13.0%.",$46.00,0.75,Sauvignon Blanc,Natural Cork,Greece,"tobacco, raspberry, lemon zest",White,13.0%,r,Savoury & Full Bodied,2007
Francesco Boschis Dogliani Vigne in Pianezzo,"Francesco Boschis Dogliani Vigne in Pianezzo (Syrah) is a refined red wine from Italy, specifically the Abruzzo region. Produced from the 2013 vintage, it offers flavors of chocolate, chocolate, date and is best described as Fresh & Elegant. Alcohol content: 12.5%.",$7.83,0.5,Syrah,Natural Cork,Italy,"chocolate, chocolate, date",Red,12.5%,Abruzzo,Fresh & Elegant,2013
Maison Castel Cotes de Provence Rose,"Maison Castel Cotes de Provence Rose (Nero d'Avola) is a refined rose wine from Portugal, specifically the Dao region. Produced from the 2007 vintage, it offers flavors of cherry, cinnamon, mulberry and is best described as Light & Elegant. Alcohol content: 11.5%.",$48.00,0.75,Nero d'Avola,Natural Cork,Portugal,"cherry, cinnamon, mulberry",Rose,11.5%,Dao,Light & Elegant,2007
Istine Chianti Classico,"Istine Chianti Classico (Tempranillo) is a refined red wine from Georgia, specifically the e region. Produced from the 2008 vintage, it offers flavors of date, honeysuckle, mulberry and is best described as Fresh & Elegant. Alcohol content: 13.5%.",$58.00,0.5,Tempranillo,Natural Cork,Georgia,"date, honeysuckle, mulberry",Red,13.5%,e,Fresh & Elegant,2008
Thevenot le Brun Bourgogne Aligote Perles d’Or,"Thevenot le Brun Bourgogne Aligote Perles d’Or (Soave) is a refined white wine from France, specifically the Limoux region. Produced from the 1999 vintage, it offers flavors of nuts, perfume, tobacco and is best described as Bold & Spicy. Alcohol content: 13.5%.",$7.00,0.75,Soave,Natural Cork,France,"nuts, perfume, tobacco",White,13.5%,Limoux,Bold & Spicy,1999
Latinium Riesling Magnum,"Latinium Riesling Magnum (Riesling) is a refined white wine from Italy, specifically the Piedmont region. Produced from the 2020 vintage, it offers flavors of nuts, green pepper, blackberry and is best described as Smooth & Mellow. Alcohol content: 15.0%.",$54.00,1.5,Riesling,Natural Cork,Italy,"nuts, green pepper, blackberry",White,15.0%,Piedmont,Smooth & Mellow,2020
Pierre Naigeon Bourgogne Aligote La Riotte,"Pierre Naigeon Bourgogne Aligote La Riotte (Albarino) is a refined white wine from Georgia, specifically the l region. Produced from the 2001 vintage, it offers flavors of black fruit, vanilla, oak and is best described as Rich & Toasty. Alcohol content: 13.5%.",$18.15,0.75,Albarino,Natural Cork,Georgia,"black fruit, vanilla, oak",White,13.5%,l,Rich & Toasty,2001
El Coto Rioja Crianza 2017,"El Coto Rioja Crianza 2017 (Dolcetto) is a refined red wine from Italy, specifically the Lombardy region. Produced from the 2017 vintage, it offers flavors of mint, asparagus, lemon zest and is best described as Savoury & Full Bodied. Alcohol content: 13.5%.",$59.00,0.75,Dolcetto,Natural Cork,Italy,"mint, asparagus, lemon zest",Red,13.5%,Lombardy,Savoury & Full Bodied,2017
Madeira Barbeito Rainwater Reserva,"Madeira Barbeito Rainwater Reserva (Madeira) is a refined white wine from New Zealand, specifically the Nelson region. Produced from the 2011 vintage, it offers flavors of pepper, chocolate, honey and is best described as Smooth & Mellow. Alcohol content: 14.5%.",$15.00,0.5,Madeira,Natural Cork,New Zealand,"pepper, chocolate, honey",White,14.5%,Nelson,Smooth & Mellow,2011
Mandrarossa Nero d’Avola,"Mandrarossa Nero d’Avola (Zinfandel) is a refined red wine from South Africa, specifically the Elgin region. Produced from the 2001 vintage, it offers flavors of honey, sweetness, flowers and is best described as Ripe & Fruity. Alcohol content: 11.0%.",$50.00,0.75,Zinfandel,Natural Cork,South Africa,"honey, sweetness, flowers",Red,11.0%,Elgin,Ripe & Fruity,2001
Mandrarossa Zibibbo Secco Costadune,"Mandrarossa Zibibbo Secco Costadune (Muscat) is a refined white wine from Spain, specifically the Aragon region. Produced from the 2007 vintage, it offers flavors of peanut, fig, perfume and is best described as Fresh & Elegant. Alcohol content: 15.0%.",$54.34,0.75,Muscat,Natural Cork,Spain,"peanut, fig, perfume",White,15.0%,Aragon,Fresh & Elegant,2007
Masseria Altemura Aglianico Salento Puglia,"Masseria Altemura Aglianico Salento Puglia (Aglianico) is a refined red wine from Greece, specifically the e region. Produced from the 2008 vintage, it offers flavors of propolis, cinnamon, flowers and is best described as Fresh & Elegant. Alcohol content: 13.0%.",$21.00,0.75,Aglianico,Natural Cork,Greece,"propolis, cinnamon, flowers",Red,13.0%,e,Fresh & Elegant,2008
Fio Wein Ratzelhaft Weiss,"Fio Wein Ratzelhaft Weiss (Cortese) is a refined white wine from South Africa, specifically the Elgin region. Produced from the 2012 vintage, it offers flavors of nuts, blueberry, pear and is best described as Smooth & Mellow. Alcohol content: 12.0%.",$12.00,0.75,Cortese,Natural Cork,South Africa,"nuts, blueberry, pear",White,12.0%,Elgin,Smooth & Mellow,2012
Vega Real Vaccayos Reserva,"Vega Real Vaccayos Reserva (Cava) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 2011 vintage, it offers flavors of cherry, almond, quince and is best described as Ripe & Fruity. Alcohol content: 13.5%.",$6.00,0.75,Cava,Natural Cork,Argentina,"cherry, almond, quince",Red,13.5%,Mendoza,Ripe & Fruity,2011
Loimer Kamptal Riesling,"Loimer Kamptal Riesling (Riesling) is a refined white wine from Romania, specifically the m region. Produced from the 2019 vintage, it offers flavors of mulberry, fig, quince and is best described as Bold & Spicy. Alcohol content: 13.5%.",$51.97,0.75,Riesling,Natural Cork,Romania,"mulberry, fig, quince",White,13.5%,m,Bold & Spicy,2019
Madeira Barbeito Malvasia Reserva,"Madeira Barbeito Malvasia Reserva (Madeira) is a refined white wine from Australia, specifically the Victoria region. Produced from the 2016 vintage, it offers flavors of earth, red berries, hay and is best described as Ripe & Rounded. Alcohol content: 11.5%.",$51.00,0.5,Madeira,Natural Cork,Australia,"earth, red berries, hay",White,11.5%,Victoria,Ripe & Rounded,2016
Mil Pesetas Pedro Ximenez Jerez,"Mil Pesetas Pedro Ximenez Jerez (Sauvignon Blanc) is a refined white wine from Austria, specifically the Burgenland region. Produced from the 2013 vintage, it offers flavors of oak, blackberry, pear and is best described as Delicate & Dry. Alcohol content: 15.0%.",$24.13,0.5,Sauvignon Blanc,Natural Cork,Austria,"oak, blackberry, pear",White,15.0%,Burgenland,Delicate & Dry,2013
Repetto Diagonale Vino Rosato,"Repetto Diagonale Vino Rosato (Zinfandel) is a refined rose wine from Lebanon, specifically the b region. Produced from the 2010 vintage, it offers flavors of vanilla, tobacco, black currant and is best described as Soft & Fruity. Alcohol content: 13.0%.",$31.00,0.75,Zinfandel,Natural Cork,Lebanon,"vanilla, tobacco, black currant",Rose,13.0%,b,Soft & Fruity,2010
Wieninger Wiener Gruner Veltliner,"Wieninger Wiener Gruner Veltliner (Gruner Veltliner) is a refined white wine from Lebanon, specifically the n region. Produced from the 2014 vintage, it offers flavors of raspberry, pepper, asparagus and is best described as Savoury & Full Bodied. Alcohol content: 12.0%.",$10.00,0.75,Gruner Veltliner,Natural Cork,Lebanon,"raspberry, pepper, asparagus",White,12.0%,n,Savoury & Full Bodied,2014
Cave de Ribeauville Collection Riesling,"Cave de Ribeauville Collection Riesling (Riesling) is a refined white wine from USA, specifically the California region. Produced from the 2024 vintage, it offers flavors of spice, flowers, flowers and is best described as Ripe & Fruity. Alcohol content: 12.0%.",$54.94,0.75,Riesling,Natural Cork,USA,"spice, flowers, flowers",White,12.0%,California,Ripe & Fruity,2024
Bodegas Casa Castillo Monastrell,"Bodegas Casa Castillo Monastrell (Syrah) is a refined red wine from Portugal, specifically the Douro region. Produced from the 2007 vintage, it offers flavors of caramel, nuts, spice and is best described as Soft & Fruity. Alcohol content: 12.0%.",$20.62,0.75,Syrah,Natural Cork,Portugal,"caramel, nuts, spice",Red,12.0%,Douro,Soft & Fruity,2007
Flagstone Dragon Tree,"Flagstone Dragon Tree (Montepulciano) is a refined red wine from Australia, specifically the South Australia region. Produced from the 2015 vintage, it offers flavors of lemon zest, vanilla, vanilla and is best described as Soft & Fruity. Alcohol content: 14.5%.",$8.00,0.75,Montepulciano,Natural Cork,Australia,"lemon zest, vanilla, vanilla",Red,14.5%,South Australia,Soft & Fruity,2015
Flagstone Free Run,"Flagstone Free Run (Arneis) is a refined white wine from Lebanon, specifically the a region. Produced from the 2005 vintage, it offers flavors of minerals, pear, perfume and is best described as Smooth & Mellow. Alcohol content: 14.5%.",$56.00,0.75,Arneis,Natural Cork,Lebanon,"minerals, pear, perfume",White,14.5%,a,Smooth & Mellow,2005
Flagstone Word of Mouth,"Flagstone Word of Mouth (Sauvignon Blanc) is a refined white wine from USA, specifically the California region. Produced from the 2002 vintage, it offers flavors of mulberry, earth, flint and is best described as Ripe & Rounded. Alcohol content: 12.0%.",$46.28,0.75,Sauvignon Blanc,Natural Cork,USA,"mulberry, earth, flint",White,12.0%,California,Ripe & Rounded,2002
Masseria Altemura Fiano Salento,"Masseria Altemura Fiano Salento (Fiano) is a refined white wine from USA, specifically the California region. Produced from the 2013 vintage, it offers flavors of spice, spice, almond and is best described as Smooth & Mellow. Alcohol content: 12.5%.",$34.60,0.75,Fiano,Natural Cork,USA,"spice, spice, almond",White,12.5%,California,Smooth & Mellow,2013
Domini Veneti Lugana,"Domini Veneti Lugana (Sauvignon Blanc) is a refined white wine from Serbia, specifically the e region. Produced from the 2005 vintage, it offers flavors of apricot, flowers, mulberry and is best described as Ripe & Fruity. Alcohol content: 12.0%.",$31.70,0.75,Sauvignon Blanc,Natural Cork,Serbia,"apricot, flowers, mulberry",White,12.0%,e,Ripe & Fruity,2005
Gino Pedrotti Chardonnay 2018,"Gino Pedrotti Chardonnay 2018 (Chardonnay) is a refined white wine from New Zealand, specifically the Waipara region. Produced from the 2018 vintage, it offers flavors of flowers, nuts, vanilla and is best described as Smooth & Light. Alcohol content: 14.0%.",$56.86,0.75,Chardonnay,Natural Cork,New Zealand,"flowers, nuts, vanilla",White,14.0%,Waipara,Smooth & Light,2018
Casa de Mouraz Dao Branco,"Casa de Mouraz Dao Branco (Arneis) is a refined white wine from New Zealand, specifically the Gisborne region. Produced from the 1998 vintage, it offers flavors of lemon zest, blackberry, hazelnut and is best described as Delicate & Dry. Alcohol content: 12.5%.",$5.36,0.75,Arneis,Natural Cork,New Zealand,"lemon zest, blackberry, hazelnut",White,12.5%,Gisborne,Delicate & Dry,1998
Wieninger Wiener Gemischter Satz,"Wieninger Wiener Gemischter Satz (Orvieto) is a refined white wine from Bulgaria, specifically the u region. Produced from the 2020 vintage, it offers flavors of hazelnut, berries, blueberry and is best described as Bold & Spicy. Alcohol content: 14.5%.",$19.61,0.75,Orvieto,Natural Cork,Bulgaria,"hazelnut, berries, blueberry",White,14.5%,u,Bold & Spicy,2020
Heinrich Blaufrankisch,"Heinrich Blaufrankisch (Marsanne) is a refined red wine from South Africa, specifically the Swartland region. Produced from the 2008 vintage, it offers flavors of grape, honeysuckle, date and is best described as Light & Refreshing. Alcohol content: 11.0%.",$42.00,0.75,Marsanne,Natural Cork,South Africa,"grape, honeysuckle, date",Red,11.0%,Swartland,Light & Refreshing,2008
Sandro Fay Tei Rosso di Valtellina,"Sandro Fay Tei Rosso di Valtellina (Cava) is a refined red wine from Austria, specifically the Styria region. Produced from the 1998 vintage, it offers flavors of perfume, grass, nuts and is best described as Ripe & Rounded. Alcohol content: 14.5%.",$6.04,0.75,Cava,Natural Cork,Austria,"perfume, grass, nuts",Red,14.5%,Styria,Ripe & Rounded,1998
Marques de Casa Cabernet Sauvignon,"Marques de Casa Cabernet Sauvignon (Cabernet Sauvignon) is a refined red wine from Australia, specifically the Victoria region. Produced from the 2008 vintage, it offers flavors of vanilla, strawberry, sweetness and is best described as Soft & Fruity. Alcohol content: 11.0%.",$43.00,0.75,Cabernet Sauvignon,Natural Cork,Australia,"vanilla, strawberry, sweetness",Red,11.0%,Victoria,Soft & Fruity,2008
Marques de Casa Merlot,"Marques de Casa Merlot (Merlot) is a refined red wine from Portugal, specifically the Alentejo region. Produced from the 1998 vintage, it offers flavors of coconut, perfume, flint and is best described as Ripe & Fruity. Alcohol content: 14.5%.",$27.81,0.75,Merlot,Natural Cork,Portugal,"coconut, perfume, flint",Red,14.5%,Alentejo,Ripe & Fruity,1998
Heinrich Pinot Noir,"Heinrich Pinot Noir (Pinot Noir) is a refined red wine from Italy, specifically the Le Marche region. Produced from the 2005 vintage, it offers flavors of pepper, tobacco, mulberry and is best described as Ripe & Rounded. Alcohol content: 11.5%.",$8.86,0.75,Pinot Noir,Natural Cork,Italy,"pepper, tobacco, mulberry",Red,11.5%,Le Marche,Ripe & Rounded,2005
Gino Pedrotti Nosiola,"Gino Pedrotti Nosiola (Viognier) is a refined white wine from Bulgaria, specifically the u region. Produced from the 2010 vintage, it offers flavors of red fruit, chocolate, passion fruit and is best described as Smooth & Mellow. Alcohol content: 13.0%.",$54.80,0.75,Viognier,Natural Cork,Bulgaria,"red fruit, chocolate, passion fruit",White,13.0%,u,Smooth & Mellow,2010
Gino Pedrotti Merlot,"Gino Pedrotti Merlot (Merlot) is a refined red wine from Portugal, specifically the Dao region. Produced from the 2019 vintage, it offers flavors of green pepper, nuts, honeysuckle and is best described as Ripe & Fruity. Alcohol content: 13.5%.",$25.25,0.75,Merlot,Natural Cork,Portugal,"green pepper, nuts, honeysuckle",Red,13.5%,Dao,Ripe & Fruity,2019
Bodegas Bhilar Shanela Albarino Rias Baixas,"Bodegas Bhilar Shanela Albarino Rias Baixas (Albarino) is a refined white wine from Chile, specifically the Aconcagua region. Produced from the 2007 vintage, it offers flavors of flint, blueberry, honey and is best described as Smooth & Light. Alcohol content: 13.5%.",$50.47,0.75,Albarino,Natural Cork,Chile,"flint, blueberry, honey",White,13.5%,Aconcagua,Smooth & Light,2007
Aphros Loureiro Ten,"Aphros Loureiro Ten (Chardonnay) is a refined white wine from Portugal, specifically the Alentejo region. Produced from the 1999 vintage, it offers flavors of vanilla, incense, lemon zest and is best described as Ripe & Rounded. Alcohol content: 12.5%.",$47.87,0.75,Chardonnay,Natural Cork,Portugal,"vanilla, incense, lemon zest",White,12.5%,Alentejo,Ripe & Rounded,1999
M. Chapoutier Petite Ruche Crozes-Hermitage,"M. Chapoutier Petite Ruche Crozes-Hermitage (Primitivo) is a refined red wine from Serbia, specifically the i region. Produced from the 2023 vintage, it offers flavors of clove, peach, leather and is best described as Crisp & Fruity. Alcohol content: 15.0%.",$25.00,0.75,Primitivo,Natural Cork,Serbia,"clove, peach, leather",Red,15.0%,i,Crisp & Fruity,2023
Casa de Mouraz Dao Tinto,"Casa de Mouraz Dao Tinto (Sangiovese) is a refined red wine from Slovenia, specifically the v region. Produced from the 2009 vintage, it offers flavors of hazelnut, tobacco, asparagus and is best described as Rich & Juicy. Alcohol content: 14.5%.",$58.25,0.75,Sangiovese,Natural Cork,Slovenia,"hazelnut, tobacco, asparagus",Red,14.5%,v,Rich & Juicy,2009
Mandrarossa Perricone Costadune,"Mandrarossa Perricone Costadune (Zinfandel) is a refined rose wine from Serbia, specifically the e region. Produced from the 2011 vintage, it offers flavors of vanilla, spice, citrus and is best described as Bold & Spicy. Alcohol content: 13.5%.",$53.60,0.75,Zinfandel,Natural Cork,Serbia,"vanilla, spice, citrus",Rose,13.5%,e,Bold & Spicy,2011
Fio Wein Teppo,"Fio Wein Teppo (Vernaccia) is a refined white wine from Spain, specifically the Catalunya region. Produced from the 1998 vintage, it offers flavors of spice, cherry, clove and is best described as Aromatic & Floral. Alcohol content: 14.0%.",$39.81,0.75,Vernaccia,Natural Cork,Spain,"spice, cherry, clove",White,14.0%,Catalunya,Aromatic & Floral,1998
Bodegas Casa Castillo Vino de Finca,"Bodegas Casa Castillo Vino de Finca (Cava) is a refined red wine from Lebanon, specifically the n region. Produced from the 2010 vintage, it offers flavors of earth, grass, incense and is best described as Light & Refreshing. Alcohol content: 13.5%.",$11.76,0.75,Cava,Natural Cork,Lebanon,"earth, grass, incense",Red,13.5%,n,Light & Refreshing,2010
Mud House The Woolshed Sauvignon Blanc,"Mud House The Woolshed Sauvignon Blanc (Sauvignon Blanc) is a refined white wine from Argentina, specifically the San Juan region. Produced from the 2011 vintage, it offers flavors of green pepper, perfume, caramel and is best described as Smooth & Light. Alcohol content: 13.0%.",$41.85,0.75,Sauvignon Blanc,Natural Cork,Argentina,"green pepper, perfume, caramel",White,13.0%,San Juan,Smooth & Light,2011
Chateau d’Esclans THE PALE 2021,"Chateau d’Esclans THE PALE 2021 (Grenache) is a refined rose wine from New Zealand, specifically the Waipara region. Produced from the 2021 vintage, it offers flavors of pineapple, strawberry, cherry and is best described as Smooth & Light. Alcohol content: 14.5%.",$59.00,0.75,Grenache,Natural Cork,New Zealand,"pineapple, strawberry, cherry",Rose,14.5%,Waipara,Smooth & Light,2021
Filipa Pato Post Quercus Bical,"Filipa Pato Post Quercus Bical (Verdejo) is a refined white wine from Bulgaria, specifically the u region. Produced from the 2003 vintage, it offers flavors of oak, earth, fruit and is best described as Ripe & Fruity. Alcohol content: 12.0%.",$26.00,0.5,Verdejo,Natural Cork,Bulgaria,"oak, earth, fruit",White,12.0%,u,Ripe & Fruity,2003
Thevenot le Brun Bourgogne Hautes Cotes de Nuits,"Thevenot le Brun Bourgogne Hautes Cotes de Nuits (Negroamaro) is a refined red wine from Romania, specifically the a region. Produced from the 2020 vintage, it offers flavors of chocolate, lemon zest, hay and is best described as Delicate & Dry. Alcohol content: 13.0%.",$21.34,0.75,Negroamaro,Natural Cork,Romania,"chocolate, lemon zest, hay",Red,13.0%,a,Delicate & Dry,2020
Sensi Vermentino Mandriano,"Sensi Vermentino Mandriano (Soave) is a refined white wine from Argentina, specifically the San Juan region. Produced from the 2016 vintage, it offers flavors of chocolate, quince, peanut and is best described as Aromatic & Floral. Alcohol content: 13.5%.",$48.00,0.75,Soave,Natural Cork,Argentina,"chocolate, quince, peanut",White,13.5%,San Juan,Aromatic & Floral,2016
Ataman,"Ataman (Nebbiolo) is a refined red wine from USA, specifically the California region. Produced from the 2009 vintage, it offers flavors of apricot, minerals, mushrooms and is best described as Savoury & Full Bodied. Alcohol content: 15.0%.",$45.00,0.5,Nebbiolo,Natural Cork,USA,"apricot, minerals, mushrooms",Red,15.0%,California,Savoury & Full Bodied,2009
Cave de Ribeauville Riesling Bio,"Cave de Ribeauville Riesling Bio (Riesling) is a refined white wine from Lebanon, specifically the e region. Produced from the 1999 vintage, it offers flavors of honey, minerals, ginger and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$17.04,0.75,Riesling,Natural Cork,Lebanon,"honey, minerals, ginger",White,11.5%,e,Savoury & Full Bodied,1999
Wieninger Nussberg Gruner Veltliner,"Wieninger Nussberg Gruner Veltliner (Gruner Veltliner) is a refined white wine from Italy, specifically the Campania region. Produced from the 2006 vintage, it offers flavors of earth, vanilla, red berries and is best described as Bold & Spicy. Alcohol content: 11.5%.",$16.83,0.75,Gruner Veltliner,Natural Cork,Italy,"earth, vanilla, red berries",White,11.5%,Campania,Bold & Spicy,2006
Istine Chianti Classico,"Istine Chianti Classico (Grenache) is a refined red wine from Germany, specifically the e region. Produced from the 2022 vintage, it offers flavors of pepper, grass, violet and is best described as Bold & Spicy. Alcohol content: 11.5%.",$57.00,0.75,Grenache,Natural Cork,Germany,"pepper, grass, violet",Red,11.5%,e,Bold & Spicy,2022
Les Carmes de Rieussec Sauternes,"Les Carmes de Rieussec Sauternes (Chardonnay) is a refined white wine from Italy, specifically the Lombardy region. Produced from the 2021 vintage, it offers flavors of minerals, peanut, red fruit and is best described as Smooth & Light. Alcohol content: 13.5%.",$45.00,0.375,Chardonnay,Natural Cork,Italy,"minerals, peanut, red fruit",White,13.5%,Lombardy,Smooth & Light,2021
Weninger Blaufrankisch,"Weninger Blaufrankisch (Valpolicella) is a refined red wine from Australia, specifically the Victoria region. Produced from the 1999 vintage, it offers flavors of perfume, wax, honeysuckle and is best described as Savoury & Full Bodied. Alcohol content: 11.5%.",$24.58,0.75,Valpolicella,Natural Cork,Australia,"perfume, wax, honeysuckle",Red,11.5%,Victoria,Savoury & Full Bodied,1999
Aphros Loureiro,"Aphros Loureiro (Gewürztraminer) is a refined white wine from Portugal, specifically the Dao region. Produced from the 2019 vintage, it offers flavors of apricot, citrus, propolis and is best described as Crisp & Zesty. Alcohol content: 11.5%.",$27.65,0.75,Gewürztraminer,Natural Cork,Portugal,"apricot, citrus, propolis",White,11.5%,Dao,Crisp & Zesty,2019
Chateau Thieuley Blanc 2022,"Chateau Thieuley Blanc 2022 (Trebbiano) is a refined white wine from Moldova, specifically the d region. Produced from the 2022 vintage, it offers flavors of oak, vanilla, clove and is best described as Ripe & Fruity. Alcohol content: 11.5%.",$29.44,0.75,Trebbiano,Natural Cork,Moldova,"oak, vanilla, clove",White,11.5%,d,Ripe & Fruity,2022
Coto de Imaz Rioja Reserva,"Coto de Imaz Rioja Reserva (Tannat) is a refined red wine from New Zealand, specifically the Waipara region. Produced from the 1998 vintage, it offers flavors of perfume, almond, red berries and is best described as Smooth & Mellow. Alcohol content: 15.0%.",$10.11,0.75,Tannat,Natural Cork,New Zealand,"perfume, almond, red berries",Red,15.0%,Waipara,Smooth & Mellow,1998
Francesco Boschis Langhe Freisa Bosco delle Cicale,"Francesco Boschis Langhe Freisa Bosco delle Cicale (Dolcetto) is a refined red wine from USA, specifically the California region. Produced from the 2016 vintage, it offers flavors of coffee, oak, pepper and is best described as Crisp & Fruity. Alcohol content: 12.5%.",$25.00,0.75,Dolcetto,Natural Cork,USA,"coffee, oak, pepper",Red,12.5%,California,Crisp & Fruity,2016
Domini Veneti Amarone della Valpolicella Classico,"Domini Veneti Amarone della Valpolicella Classico (Valpolicella) is a refined red wine from New Zealand, specifically the Hawkes Bay region. Produced from the 2019 vintage, it offers flavors of blackberry, chocolate, lemon zest and is best described as Light & Refreshing. Alcohol content: 15.0%.",$47.00,0.375,Valpolicella,Natural Cork,New Zealand,"blackberry, chocolate, lemon zest",Red,15.0%,Hawkes Bay,Light & Refreshing,2019
Weninger Syrah,"Weninger Syrah (Syrah) is a refined red wine from Serbia, specifically the b region. Produced from the 2003 vintage, it offers flavors of spice, blackberry, honey and is best described as Light & Refreshing. Alcohol content: 12.5%.",$34.00,0.75,Syrah,Natural Cork,Serbia,"spice, blackberry, honey",Red,12.5%,b,Light & Refreshing,2003
Quinta Do Noval Porto LBV  Unfiltered,"Quinta Do Noval Porto LBV  Unfiltered (Port) is a refined red wine from Portugal, specifically the Douro region. Produced from the 2020 vintage, it offers flavors of spice, green pepper, honeysuckle and is best described as Savoury & Full Bodied. Alcohol content: 14.0%.",$28.00,0.75,Port,Natural Cork,Portugal,"spice, green pepper, honeysuckle",Red,14.0%,Douro,Savoury & Full Bodied,2020
Diane de Belgrave Haut-Medoc,"Diane de Belgrave Haut-Medoc (Negroamaro) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 2013 vintage, it offers flavors of caramel, clove, ginger and is best described as Rich & Toasty. Alcohol content: 11.5%.",$28.74,0.75,Negroamaro,Natural Cork,Argentina,"caramel, clove, ginger",Red,11.5%,Mendoza,Rich & Toasty,2013
Cantina di Negrar Recioto della Valpolicella Classico,"Cantina di Negrar Recioto della Valpolicella Classico (Valpolicella) is a refined red wine from Lebanon, specifically the n region. Produced from the 2014 vintage, it offers flavors of hay, black currant, flowers and is best described as Ripe & Fruity. Alcohol content: 12.5%.",$25.00,0.5,Valpolicella,Natural Cork,Lebanon,"hay, black currant, flowers",Red,12.5%,n,Ripe & Fruity,2014
Comando G Mataborricos,"Comando G Mataborricos (Pinot Noir) is a refined red wine from USA, specifically the California region. Produced from the 2021 vintage, it offers flavors of clove, hazelnut, fruit and is best described as Bold & Spicy. Alcohol content: 12.0%.",$53.00,0.75,Pinot Noir,Natural Cork,USA,"clove, hazelnut, fruit",Red,12.0%,California,Bold & Spicy,2021
Alberto Oggero Vino Rosso Sandro d’Pindeta,"Alberto Oggero Vino Rosso Sandro d’Pindeta (Montepulciano) is a refined red wine from Italy, specifically the Campania region. Produced from the 2023 vintage, it offers flavors of earth, fruit, asparagus and is best described as Light & Elegant. Alcohol content: 12.0%.",$19.00,0.75,Montepulciano,Natural Cork,Italy,"earth, fruit, asparagus",Red,12.0%,Campania,Light & Elegant,2023
Mandrarossa Santannella,"Mandrarossa Santannella (Muscat) is a refined white wine from Romania, specifically the o region. Produced from the 2018 vintage, it offers flavors of flowers, berries, hazelnut and is best described as Aromatic & Floral. Alcohol content: 12.0%.",$15.34,0.75,Muscat,Natural Cork,Romania,"flowers, berries, hazelnut",White,12.0%,o,Aromatic & Floral,2018
Francesco Boschis Barbera d’Alba Superiore Vigna Le Masserie,"Francesco Boschis Barbera d’Alba Superiore Vigna Le Masserie (Barbera) is a refined red wine from Argentina, specifically the Mendoza region. Produced from the 2005 vintage, it offers flavors of grape, green apple, fig and is best described as Crisp & Fruity. Alcohol content: 14.0%.",$35.67,0.75,Barbera,Natural Cork,Argentina,"grape, green apple, fig",Red,14.0%,Mendoza,Crisp & Fruity,2005
